   8317.00000             101          15   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph         strbar
  0.691782E-01   1.45383      0.717503      0.542873      0.206818      0.248544      0.510684      0.294329      0.455362      0.147333      0.117120      0.965761E-01  0.594850E-01  0.345987E-01   0.00000      0.968250E-01
  0.758523E-01   1.29555      0.705890      0.518730      0.185834      0.219508      0.520057      0.299222      0.405342      0.133481      0.103734      0.853248E-01  0.523522E-01  0.302183E-01   0.00000      0.855554E-01
  0.831703E-01   1.14907      0.694086      0.495181      0.166076      0.192506      0.528010      0.302675      0.358582      0.120283      0.912091E-01  0.748503E-01  0.457936E-01  0.262349E-01   0.00000      0.750623E-01
  0.911943E-01   1.01330      0.681901      0.472001      0.147471      0.167423      0.534430      0.304578      0.314894      0.107709      0.795099E-01  0.651114E-01  0.397614E-01  0.226090E-01   0.00000      0.653045E-01
  0.999925E-01  0.885399      0.669181      0.448889      0.129775      0.143888      0.539405      0.305001      0.273664      0.956411E-01  0.684942E-01  0.559701E-01  0.341344E-01  0.192498E-01   0.00000      0.561443E-01
  0.109639      0.768362      0.655724      0.425874      0.113301      0.122372      0.542423      0.303501      0.235673      0.842608E-01  0.583675E-01  0.476052E-01  0.290401E-01  0.162442E-01   0.00000      0.477608E-01
  0.120217      0.662842      0.641156      0.402733      0.981740E-01  0.103079      0.542982      0.299655      0.201253      0.736591E-01  0.492350E-01  0.400976E-01  0.245148E-01  0.136087E-01   0.00000      0.402351E-01
  0.131815      0.566647      0.625299      0.379249      0.842002E-01  0.856781E-01  0.541099      0.293571      0.169878      0.637439E-01  0.409659E-01  0.333234E-01  0.204563E-01  0.112688E-01   0.00000      0.334434E-01
  0.144533      0.479888      0.607791      0.355250      0.714346E-01  0.702319E-01  0.536356      0.285018      0.141666      0.545666E-01  0.335990E-01  0.273079E-01  0.168679E-01  0.922159E-02   0.00000      0.274113E-01
  0.158477      0.401832      0.588396      0.330639      0.598220E-01  0.566138E-01  0.528574      0.274026      0.116436      0.461122E-01  0.270850E-01  0.220032E-01  0.137098E-01  0.743775E-02   0.00000      0.220910E-01
  0.173766      0.332550      0.566671      0.305308      0.494115E-01  0.448519E-01  0.517260      0.260456      0.942634E-01  0.384315E-01  0.214453E-01  0.174213E-01  0.109801E-01  0.591179E-02   0.00000      0.174948E-01
  0.190530      0.271271      0.542382      0.279269      0.401329E-01  0.347818E-01  0.502249      0.244487      0.749147E-01  0.314985E-01  0.166091E-01  0.134990E-01  0.863449E-02  0.461336E-02   0.00000      0.135594E-01
  0.208912      0.218005      0.515028      0.252537      0.320224E-01  0.263887E-01  0.483005      0.226148      0.584111E-01  0.253573E-01  0.125748E-01  0.102310E-01  0.666511E-02  0.353421E-02   0.00000      0.102797E-01
  0.229067      0.171936      0.484444      0.225277      0.249901E-01  0.194723E-01  0.459454      0.205805      0.444624E-01  0.199657E-01  0.925072E-02  0.753944E-02  0.502448E-02  0.264376E-02   0.00000      0.757782E-02
  0.251167      0.132988      0.450180      0.197697      0.190509E-01  0.139711E-01  0.431129      0.183726      0.330221E-01  0.153527E-01  0.660998E-02  0.540053E-02  0.369825E-02  0.193108E-02   0.00000      0.543008E-02
  0.275399      0.100302      0.412290      0.170137      0.140924E-01  0.966077E-02  0.398198      0.160476      0.237531E-01  0.114548E-01  0.454570E-02  0.372656E-02  0.263760E-02  0.136643E-02   0.00000      0.374864E-02
  0.301969      0.736952E-01  0.370618      0.143046      0.100998E-01  0.643960E-02  0.360518      0.136606      0.165394E-01  0.827715E-02  0.300916E-02  0.247764E-02  0.182263E-02  0.936798E-03   0.00000      0.249364E-02
  0.331102      0.522788E-01  0.325691      0.116903      0.693862E-02  0.408091E-02  0.318752      0.112822      0.110195E-01  0.573268E-02  0.189010E-02  0.156500E-02  0.120594E-02  0.614682E-03   0.00000      0.157613E-02
  0.363046      0.357539E-01  0.278045      0.923767E-01  0.456079E-02  0.246176E-02  0.273484      0.899149E-01  0.702256E-02  0.379665E-02  0.112788E-02  0.940288E-03  0.764139E-03  0.386177E-03   0.00000      0.947706E-03
  0.398071      0.232292E-01  0.228959      0.699619E-01  0.281718E-02  0.138182E-02  0.226142      0.685801E-01  0.419900E-02  0.236237E-02  0.624411E-03  0.525055E-03  0.454805E-03  0.227691E-03   0.00000      0.529718E-03
  0.436476      0.140773E-01  0.179864      0.502041E-01  0.160777E-02  0.706841E-03  0.178256      0.494973E-01  0.231461E-02  0.135867E-02  0.314255E-03  0.266845E-03  0.249099E-03  0.123021E-03   0.00000      0.269565E-03
  0.478586      0.799363E-02  0.133139      0.338074E-01  0.845367E-03  0.332295E-03  0.132294      0.334751E-01  0.117766E-02  0.718786E-03  0.144724E-03  0.124386E-03  0.126581E-03  0.617165E-04   0.00000      0.125855E-03
  0.524759      0.412120E-02  0.910963E-01  0.209284E-01  0.395993E-03  0.138053E-03  0.907003E-01  0.207903E-01  0.534046E-03  0.338467E-03  0.586251E-04  0.511033E-04  0.575263E-04  0.276133E-04   0.00000      0.518146E-04
  0.575386      0.186880E-02  0.560537E-01  0.115884E-01  0.159184E-03  0.488489E-04  0.558945E-01  0.115395E-01  0.208033E-03  0.136601E-03  0.201110E-04  0.178136E-04  0.225828E-04  0.106261E-04   0.00000      0.181118E-04
  0.630897      0.709598E-03  0.297334E-01  0.550217E-02  0.518324E-04  0.139099E-04  0.296816E-01  0.548826E-02  0.657423E-04  0.445713E-04  0.551279E-05  0.496848E-05  0.726112E-05  0.332625E-05   0.00000      0.507087E-05
  0.691764      0.207892E-03  0.126727E-01  0.208795E-02  0.124187E-04  0.290109E-05  0.126603E-01  0.208504E-02  0.153198E-04  0.106669E-04  0.109668E-05  0.100565E-05  0.175185E-05  0.772489E-06   0.00000      0.103192E-05
  0.758504      0.389200E-04  0.376366E-02  0.547850E-03  0.177586E-05  0.352231E-06  0.376188E-02  0.547498E-03  0.212809E-05  0.151681E-05  0.125278E-06  0.116425E-06  0.259048E-06  0.106432E-06   0.00000      0.120521E-06
  0.831682      0.346399E-05  0.587926E-03  0.752517E-04  0.105729E-06  0.179644E-07  0.587820E-03  0.752337E-04  0.123694E-06  0.884028E-07  0.584131E-08  0.545830E-08  0.173265E-07  0.638992E-08   0.00000      0.573318E-08
  0.911920      0.490892E-07  0.189591E-04  0.211350E-05  0.733340E-09  0.109420E-09  0.189584E-04  0.211339E-05  0.842761E-09  0.566733E-09  0.294279E-10  0.275561E-10  0.166608E-09  0.501409E-10   0.00000      0.298518E-10
  0.999900      0.145621E-14  0.193729E-11  0.183179E-12  0.709071E-18  0.941281E-18  0.193729E-11  0.183178E-12  0.165035E-17  -.906564E-18  0.120425E-18  0.247550E-18  0.161563E-17  0.554515E-18   0.00000      0.266342E-18
